0011107Y,151,Ecole élémentaire Centre,Public,10,1143
0011218U,151,Ecole primaire Arbère,Public,10,1143
0011423S,101,Ecole Les Tournesols,Privé,10,1143
0010960N,151,Ecole primaire,Public,10,1145
0010695A,151,Ecole primaire,Public,10,1147
0010886H,101,Ecole maternelle,Public,10,1148
0010165Z,151,Ecole élémentaire,Public,10,1148
0010450J,151,Ecole primaire,Public,10,1149
0010750K,151,Ecole élémentaire,Public,10,1150
0010547P,151,Ecole primaire,Public,10,1151
0011214P,151,Ecole primaire,Public,10,1152
0010137U,151,Ecole primaire Clément Chazalet,Public,10,1153
0010571R,151,Ecole élémentaire,Public,10,1155
0010513C,151,Ecole élémentaire,Public,10,1156
0011097M,101,Ecole maternelle,Public,10,1157
0011209J,151,Ecole élémentaire,Public,10,1157
0010392W,151,Ecole primaire Roger Vailland,Public,10,1158
0011362A,151,Ecole primaire publique,Public,10,1159
0010086N,340,Collège privé Saint Charles,Privé,10,1159
0010380H,151,Ecole primaire privée de Limerol,Privé,10,1159
0011425U,334,Section d'enseignement professionnel du Lycée polyvalent international,Public,10,1160
0010072Y,306,Lycée polyvalent international,Public,10,1160
0010896U,340,Collège international,Public,10,1160
0010109N,151,Ecole primaire Jean Calas,Public,10,1160
0010110P,151,Ecole primaire Florian,Public,10,1160
0010381J,151,Ecole primaire privée Saint Vincent,Privé,10,1160
0011397N,151,ECOLE PRIMAIRE  PRIVEE LES PETITS POLYGLOTTES,Privé,10,1160
0011129X,151,Ecole primaire,Public,10,1163
0011219V,151,Ecole primaire,Public,10,1165
0010245L,151,Ecole primaire Juliette Marcel Merle,Public,10,1166
0010342S,151,Ecole primaire,Public,10,1167
0011178A,151,Ecole élémentaire,Public,10,1169
0010146D,151,Ecole primaire,Public,10,1170
0010994A,101,Ecole maternelle Les Vertes Campagnes,Public,10,1173
0011012V,390,Section d'enseignement général et professionnel adapté du Collège Georges Charpak,Public,10,1173
0011426V,340,Collège privé Saint Joseph,Privé,10,1173
0011038Y,101,Ecole maternelle Parozet,Public,10,1173
0011393J,151,Ecole élémentaire privée Saint-Joseph,Privé,10,1173
0010830X,151,Ecole primaire privée Jeanne d'Arc,Privé,10,1173
0010128J,101,Ecole maternelle,Public,10,1173
0010992Y,151,Ecole élémentaire,Public,10,1173
0011262S,151,Ecole élémentaire Parozet,Public,10,1173
0010088R,340,Collège privé Jeanne d'Arc,Privé,10,1173
0010993Z,151,Ecole élémentaire Les Vertes Campagnes,Public,10,1173
0010024W,340,Collège Georges Charpak,Public,10,1173
0010737W,151,Ecole primaire,Public,10,1175
0010831Y,151,Ecole primaire privée,Privé,10,1179
0011345G,151,Ecole élémentaire publique,Public,10,1179
0011392H,151,ECOLE MATERNELLE PRIVEE LES TOURNESOLS,Privé,10,1180
0010171F,151,Ecole primaire,Public,10,1181
0010832Z,151,Ecole primaire privée,Privé,10,1183
0010344U,151,Ecole primaire,Public,10,1183
0010752M,151,Ecole élémentaire,Public,10,1184
0010205T,151,Ecole primaire,Public,10,1185
0010207V,151,Ecole primaire,Public,10,1185
0011294B,320,Ecole technique du Bois,Privé,10,1185
0011435E,151,Ecole primaire privée Les Opportuns,Privé,10,1185
0010942U,151,Ecole élémentaire,Public,10,1185
0010025X,340,Collège Paul Sixdenier,Public,10,1185
0010233Y,101,Ecole maternelle Centre,Public,10,1185
0010409P,151,Ecole primaire,Public,10,1187
0010345V,151,Ecole primaire,Public,10,1188
0010961P,151,Ecole primaire des Balmettes,Public,10,1189
0010410R,151,Ecole élémentaire,Public,10,1191
0010172G,151,Ecole primaire,Public,10,1192
0011136E,101,Ecole maternelle Champ Bouvier,Public,10,1194
0011247A,151,Ecole primaire Mairie,Public,10,1194
0011248B,151,Ecole élémentaire Champ Bouvier,Public,10,1194
0011193S,340,Collège Léon-Marie Fournet,Public,10,1194
0011195U,390,Section d'enseignement général et professionnel adapté du Collège Léon-Marie Fournet,Public,10,1194
0010753N,151,Ecole primaire,Public,10,1195
0011009S,151,Ecole primaire,Public,10,1196
0010550T,151,Ecole primaire,Public,10,1197
0010516F,151,Ecole élémentaire,Public,10,1198
0010834B,151,Ecole primaire privée Saint Joseph,Privé,10,1199
0010943V,151,Ecole primaire Charles Juliet,Public,10,1199
0010652D,151,Ecole primaire,Public,10,1200
0010797L,101,Ecole maternelle Les Tournelles,Public,10,1202
0011031R,101,Ecole maternelle L'Etraz,Public,10,1202
0010026Y,340,Collège Paul Claudel,Public,10,1202
0010466B,151,Ecole élémentaire Les Charmettes,Public,10,1202
0010836D,151,Ecole primaire privée Jeanne d'Arc,Privé,10,1202
0010467C,101,Ecole maternelle Centre,Public,10,1202
0010465A,151,Ecole élémentaire du Vieux Château,Public,10,1202
0010339N,151,Ecole primaire,Public,10,1203
0010155N,151,Ecole primaire,Public,10,1204
0010411S,101,Ecole maternelle,Public,10,1206
0011309T,151,Ecole primaire,Public,10,1209
0010106K,151,Ecole élémentaire,Public,10,1210
0010762Y,151,Ecole primaire,Public,10,1211
0010305B,101,ECOLE MATERNELLE PUBLIQUE,Public,10,1212
0011300H,340,Collège de la Plaine de l'Ain,Public,10,1213
0011099P,151,ECOLE DU MUGUET,Public,10,1213
0010487Z,151,Ecole primaire,Public,10,1216
0010517G,151,Ecole primaire,Public,10,1219
0011030P,151,Ecole élémentaire,Public,10,1224
0011029N,101,Ecole maternelle,Public,10,1224
0010149G,151,Ecole primaire,Public,10,1228
0010720C,151,Ecole primaire,Public,10,1229
0010306C,151,Ecole élémentaire,Public,10,1230
0011346H,151,ECOLE PRIMAIRE PUBLIQUE,Public,10,1231
0010837E,151,Ecole primaire privée Saint Joseph,Privé,10,1231
0010838F,151,Ecole primaire privée Saint Joseph,Privé,10,1232
0010696B,151,Ecole primaire,Public,10,1232
0010089S,340,Collège privé Saint Pierre,Privé,10,1232
0010263F,151,Ecole primaire,Public,10,1235
0011200Z,340,Ecole secondaire privée Saint Jean Bosco,Privé,10,1235
0011199Y,151,Ecole primaire privée Saint Jean Bosco,Privé,10,1235
0011169R,151,Ecole primaire,Public,10,1236
0010139W,151,ECOLE ELEMENTAIRE PUBLIQUE,Public,10,1237
0011027L,101,Ecole maternelle,Public,10,1237
0010250S,151,Ecole primaire,Public,10,1238
0010620U,151,Ecole primaire,Public,10,1239
0011147S,151,Ecole primaire,Public,10,1240
0010662P,151,Ecole primaire,Public,10,1241
0010433R,151,Ecole primaire,Public,10,1243
0010521L,151,Ecole élémentaire Le Ménel,Public,10,1244
0011245Y,101,Ecole primaire,Public,10,1244
0010041P,340,Collège Vaugelas,Public,10,1244
